Customer ID,Recency,Frequency,Monetary,Churn,Churn_Probability,Action
12346,165,11,372.86,1,0.995,Oferecer desconto imediato
12347,3,2,1323.32,0,0.0,Contato personalizado
12348,74,1,222.16,0,0.0,Campanha de reengajamento
12349,43,3,2671.14,0,0.0,Contato personalizado
12351,11,1,300.93,0,0.0,Campanha de reengajamento
12352,11,2,343.8,0,0.0,Campanha de reengajamento
12353,44,1,317.76,0,0.0,Campanha de reengajamento
12355,203,1,488.21000000000004,1,1.0,Oferecer desconto imediato
12356,16,3,3562.25,0,0.0,Contato personalizado
12357,24,2,12079.99,0,0.005,Contato personalizado
12358,11,3,2719.01,0,0.0,Contato personalizado
12359,61,6,2563.36,0,0.0,Contato personalizado
12360,15,5,1590.83,0,0.0,Contato personalizado
12361,98,3,321.35,1,0.995,Oferecer desconto imediato
12362,374,1,130.0,1,1.0,Oferecer desconto imediato
12366,269,1,500.24,1,1.0,Oferecer desconto imediato
12368,264,1,917.6999999999999,1,1.0,Oferecer desconto imediato
12369,49,3,1791.15,0,0.0,Contato personalizado
12370,260,3,774.62,1,1.0,Oferecer desconto imediato
12371,45,3,2179.42,0,0.0,Contato personalizado
12373,260,2,763.0500000000001,1,0.995,Oferecer desconto imediato
12374,57,3,2246.29,0,0.0,Contato personalizado
12376,25,2,503.15,0,0.005,Campanha de reengajamento
12377,17,2,1798.2,0,0.0,Contato personalizado
12378,198,1,1407.7,1,0.995,Oferecer desconto imediato
12379,58,2,767.98,0,0.0,Contato personalizado
12380,101,7,6951.49,1,0.975,Oferecer desconto imediato
12385,15,1,1938.4,0,0.0,Contato personalizado
12386,2,1,258.9,0,0.0,Campanha de reengajamento
12387,51,1,143.94,0,0.0,Campanha de reengajamento
12388,81,2,1120.45,0,0.0,Contato personalizado
12389,38,3,1433.33,0,0.01,Contato personalizado
12391,100,5,2312.53,1,0.995,Oferecer desconto imediato
12392,227,1,234.75000000000003,1,1.0,Oferecer desconto imediato
12393,18,2,816.85,0,0.0,Contato personalizado
12395,7,4,2048.64,0,0.0,Contato personalizado
12396,310,1,931.43,1,1.0,Oferecer desconto imediato
12399,21,3,853.65,0,0.0,Contato personalizado
12400,50,1,205.25,0,0.0,Campanha de reengajamento
12402,28,5,1031.3,0,0.0,Contato personalizado
12403,157,1,591.6600000000001,1,1.0,Oferecer desconto imediato
12404,318,1,63.24,1,0.995,Oferecer desconto imediato
12406,35,3,2975.06,0,0.0,Contato personalizado
12408,21,3,1452.22,0,0.01,Contato personalizado
12409,56,4,12346.619999999999,0,0.01,Contato personalizado
12410,138,1,320.38,1,1.0,Oferecer desconto imediato
12411,45,1,346.9,0,0.0,Campanha de reengajamento
12412,38,3,1370.05,0,0.0,Contato personalizado
12413,38,1,241.35,0,0.0,Campanha de reengajamento
12414,99,3,390.0,1,1.0,Oferecer desconto imediato
12415,11,7,19543.84,0,0.0,Contato personalizado
12416,292,1,202.56,1,1.0,Oferecer desconto imediato
12417,46,11,3167.81,0,0.0,Contato personalizado
12418,49,3,1352.62,0,0.0,Contato personalizado
12419,21,2,503.01,0,0.005,Campanha de reengajamento
12421,51,2,291.56,0,0.0,Campanha de reengajamento
12422,30,14,4428.24,0,0.0,Contato personalizado
12423,23,2,763.08,0,0.0,Contato personalizado
12424,58,2,1579.07,0,0.0,Contato personalizado
12425,84,1,964.21,0,0.0,Contato personalizado
12426,298,1,762.48,1,1.0,Oferecer desconto imediato
12427,7,1,303.5,0,0.005,Campanha de reengajamento
12429,1,5,3735.51,0,0.0,Contato personalizado
12431,9,13,4370.52,0,0.0,Contato personalizado
12433,2,5,7205.39,0,0.015,Contato personalizado
12434,17,1,297.29,0,0.0,Campanha de reengajamento
12435,32,4,6096.04,0,0.005,Contato personalizado
12437,31,21,7731.99,0,0.0,Contato personalizado
12439,318,2,1158.18,1,1.0,Oferecer desconto imediato
12440,98,2,859.2,1,1.0,Oferecer desconto imediato
12441,2,1,173.55,0,0.0,Campanha de reengajamento
12443,368,1,485.31,1,1.0,Oferecer desconto imediato
12445,56,1,301.58000000000004,0,0.0,Campanha de reengajamento
12449,46,2,768.6,0,0.0,Contato personalizado
12450,35,3,490.32,0,0.0,Campanha de reengajamento
12451,99,3,3634.36,1,0.995,Oferecer desconto imediato
12454,31,4,13151.44,0,0.005,Contato personalizado
12455,81,4,3413.09,0,0.0,Contato personalizado
12457,71,1,632.68,0,0.01,Campanha de reengajamento
12458,63,2,830.09,0,0.0,Contato personalizado
12459,241,1,454.36,1,1.0,Oferecer desconto imediato
12460,92,1,326.65,1,0.995,Oferecer desconto imediato
12466,318,1,56.73,1,0.995,Oferecer desconto imediato
12467,59,1,132.8,0,0.0,Campanha de reengajamento
12468,162,3,2941.2,1,0.995,Oferecer desconto imediato
12469,158,2,3070.54,1,1.0,Oferecer desconto imediato
12470,325,1,211.95,1,1.0,Oferecer desconto imediato
12471,10,49,20139.739999999998,0,0.0,Contato personalizado
12472,5,13,11308.48,0,0.0,Contato personalizado
12474,14,13,5048.66,0,0.0,Contato personalizado
12475,45,1,426.26,0,0.0,Campanha de reengajamento
12476,32,12,7298.99,0,0.0,Contato personalizado
12477,35,3,7056.63,0,0.015,Contato personalizado
12480,35,3,2183.2200000000003,0,0.0,Contato personalizado
12481,1,6,6765.07,0,0.0,Contato personalizado
12482,212,29,23691.4,1,0.965,Oferecer desconto imediato
12483,14,11,2635.6,0,0.0,Contato personalizado
12484,119,6,1828.43,1,1.0,Oferecer desconto imediato
12485,165,1,708.1,1,1.0,Oferecer desconto imediato
12486,67,1,1037.28,0,0.0,Contato personalizado
12487,366,1,285.29999999999995,1,1.0,Oferecer desconto imediato
12490,14,11,4405.71,0,0.0,Contato personalizado
12492,39,1,452.0,0,0.0,Campanha de reengajamento
12494,1,3,626.77,0,0.0,Campanha de reengajamento
12495,276,1,357.4,1,1.0,Oferecer desconto imediato
12496,256,2,54.09,1,1.0,Oferecer desconto imediato
12497,36,2,5205.400000000001,0,0.0,Contato personalizado
12499,196,1,393.72,1,1.0,Oferecer desconto imediato
12500,71,8,1697.39,0,0.005,Contato personalizado
12503,220,1,1126.0,1,0.995,Oferecer desconto imediato
12504,53,2,297.0,0,0.005,Campanha de reengajamento
12505,44,1,955.2,0,0.0,Contato personalizado
12507,220,1,539.25,1,1.0,Oferecer desconto imediato
12510,95,7,4195.45,1,0.965,Oferecer desconto imediato
12511,64,1,3084.02,0,0.005,Contato personalizado
12514,277,1,580.08,1,1.0,Oferecer desconto imediato
12516,66,2,1336.56,0,0.0,Contato personalizado
12519,112,1,385.7,1,1.0,Oferecer desconto imediato
12523,10,12,2582.38,0,0.0,Contato personalizado
12524,24,9,6640.39,0,0.0,Contato personalizado
12525,134,3,973.73,1,1.0,Oferecer desconto imediato
12527,130,2,386.8,1,1.0,Oferecer desconto imediato
12529,164,1,316.48,1,1.0,Oferecer desconto imediato
12530,51,5,2096.98,0,0.0,Contato personalizado
12531,322,1,1807.98,1,1.0,Oferecer desconto imediato
12533,263,2,1367.89,1,1.0,Oferecer desconto imediato
12537,44,1,732.94,0,0.0,Contato personalizado
12538,14,1,276.5,0,0.0,Campanha de reengajamento
12539,86,3,5646.400000000001,0,0.035,Contato personalizado
12540,14,16,8854.25,0,0.0,Contato personalizado
12542,120,2,481.88,1,1.0,Oferecer desconto imediato
12543,84,1,980.25,0,0.0,Contato personalizado
12547,136,1,175.78,1,0.995,Oferecer desconto imediato
12549,211,6,1575.68,1,1.0,Oferecer desconto imediato
12553,21,2,916.47,0,0.0,Contato personalizado
12554,84,1,468.5,0,0.0,Campanha de reengajamento
12555,318,1,129.23,1,1.0,Oferecer desconto imediato
12557,7,4,6725.18,0,0.0,Contato personalizado
12562,21,2,1185.18,0,0.0,Contato personalizado
12563,44,1,249.24,0,0.0,Campanha de reengajamento
12567,3,7,4308.58,0,0.0,Contato personalizado
12568,280,1,70.0,1,1.0,Oferecer desconto imediato
12570,318,1,77.52,1,1.0,Oferecer desconto imediato
12573,17,4,556.87,0,0.0,Campanha de reengajamento
12575,93,2,622.8199999999999,1,0.995,Oferecer desconto imediato
12576,28,3,826.89,0,0.005,Contato personalizado
12577,17,5,995.9499999999999,0,0.0,Contato personalizado
12578,21,2,1847.94,0,0.0,Contato personalizado
